client_id,client_name,sector,contract_tier,sign_up_date,TOTAL_EVENTS,TOTAL_VOLUME,AVG_TRANSACTION_AMOUNT,COMPLETED_EVENTS,FAILED_EVENTS,PROCESSING_EVENTS,CREATED_EVENTS,TOTAL_RETRIES,SUCCESSFUL_RETRIES,FAILED_RETRIES,PAY_IN_RATIO,PAY_OUT_RATIO,FAIL_RATE,AVG_DELAY_HOURS,RETRY_RATE
C0043,Alvarez Carson And Kennedy,credit,enterprise,2024-11-30 00:00:00+00:00,280,1445137.15,5161.204107142857,164.0,30.0,62.0,24.0,41,22.0,19.0,52.14,47.86,10.71,0.76,12.5
C0003,Sanders Ltd,payroll,standard,2024-06-09 00:00:00+00:00,274,1439742.0800000012,5254.533138686136,174.0,28.0,41.0,31.0,27,12.0,15.0,52.55,47.45,10.22,0.72,9.49
C0035,Wilson Ferguson,payroll,standard,2024-06-12 00:00:00+00:00,281,1433048.300000001,5099.816014234879,167.0,30.0,46.0,38.0,32,20.0,12.0,47.69,52.31,10.68,0.84,11.39
C0000,Levy Plc,credit,enterprise,2024-11-27 00:00:00+00:00,271,1425315.4500000002,5259.466605166052,163.0,24.0,56.0,28.0,30,11.0,19.0,53.51,46.49,8.86,0.75,11.07
C0007,Conley Ramos And Barrett,unknown,unknown,2024-02-01 00:00:00+00:00,275,1410672.8200000005,5129.719345454548,184.0,30.0,41.0,20.0,26,17.0,9.0,52.0,48.0,10.91,0.72,8.73
C0044,Ho Chung And Smith,logistics,basic,2025-05-13 00:00:00+00:00,282,1398125.6900000004,4957.892517730498,179.0,33.0,40.0,30.0,34,16.0,18.0,48.58,51.42,11.7,0.77,12.06
C0042,Bennett Combs,credit,enterprise,2024-06-25 00:00:00+00:00,262,1388387.7699999998,5299.18996183206,178.0,25.0,36.0,23.0,20,11.0,9.0,48.85,51.15,9.54,0.74,6.87
C0016,Parker Lewis,retail,basic,2025-04-11 00:00:00+00:00,263,1383959.5299999998,5262.203536121672,169.0,28.0,34.0,32.0,33,15.0,18.0,48.67,51.33,10.65,0.8,11.79
C0038,Bowman Mack And Trujillo,unknown,basic,2024-11-15 00:00:00+00:00,282,1364405.2299999995,4838.316418439715,193.0,23.0,41.0,25.0,23,9.0,14.0,46.45,53.55,8.16,0.71,8.16
C0008,Torres Marquez,credit,basic,2023-10-16 00:00:00+00:00,270,1356447.6100000008,5023.88003703704,166.0,29.0,39.0,36.0,28,7.0,21.0,47.78,52.22,10.74,0.79,9.26
C0056,Duran Plc,unknown,basic,2024-08-29 00:00:00+00:00,263,1352711.19,5143.3885551330795,183.0,23.0,33.0,24.0,30,14.0,16.0,48.67,51.33,8.75,0.76,11.03
C0015,Horton Inc,credit,enterprise,2024-12-16 00:00:00+00:00,266,1338098.3199999996,5030.444812030074,169.0,28.0,37.0,32.0,27,17.0,10.0,49.25,50.75,10.53,0.74,10.15
C0019,Whitehead Inc,services,unknown,2023-09-13 00:00:00+00:00,256,1335686.64,5217.5259375,167.0,29.0,36.0,24.0,23,13.0,10.0,48.44,51.56,11.33,0.67,8.98
C0050,Shepherd Avila,unknown,basic,2024-03-31 00:00:00+00:00,265,1320471.8599999996,4982.912679245282,183.0,21.0,36.0,25.0,25,11.0,14.0,44.91,55.09,7.92,0.76,9.43
C0039,Andrews Washington And Hess,payroll,premium,2023-06-18 00:00:00+00:00,252,1314632.5700000003,5216.795912698414,149.0,28.0,46.0,29.0,16,8.0,8.0,44.05,55.95,11.11,0.76,5.95
C0031,Bean Inc,payroll,basic,2023-07-17 00:00:00+00:00,257,1311053.04,5101.373696498054,176.0,25.0,33.0,23.0,29,9.0,20.0,50.97,49.03,9.73,0.75,10.89
C0046,Hinton Kim And Walker,services,premium,2025-01-09 00:00:00+00:00,267,1310603.1700000006,4908.626104868917,172.0,26.0,37.0,32.0,17,9.0,8.0,48.31,51.69,9.74,0.75,6.37
C0010,Sosa Smith,logistics,basic,2023-12-08 00:00:00+00:00,250,1309056.8000000003,5236.227200000001,173.0,30.0,25.0,22.0,24,12.0,12.0,50.0,50.0,12.0,0.71,8.8
C0012,Vincent And Sons,unknown,basic,2025-01-23 00:00:00+00:00,274,1288359.3899999994,4702.041569343063,192.0,26.0,27.0,29.0,28,10.0,18.0,48.18,51.82,9.49,0.74,10.22
C0022,Lee Plc,unknown,premium,2024-05-18 00:00:00+00:00,254,1284835.43,5058.407204724409,163.0,27.0,42.0,22.0,26,15.0,11.0,46.06,53.94,10.63,0.76,9.84
C0025,Morrow Llc,unknown,enterprise,2024-04-02 00:00:00+00:00,245,1283729.5900000003,5239.712612244899,166.0,23.0,36.0,20.0,20,8.0,12.0,46.94,53.06,9.39,0.76,7.76
C0026,Leonard Gonzalez And Anthony,credit,basic,2023-07-27 00:00:00+00:00,255,1282162.5000000012,5028.088235294123,165.0,29.0,38.0,23.0,20,8.0,12.0,47.45,52.55,11.37,0.82,7.84
C0049,Payne Adkins And Brown,payroll,premium,2023-08-20 00:00:00+00:00,265,1271846.7299999997,4799.421622641508,179.0,18.0,35.0,33.0,29,16.0,13.0,46.04,53.96,6.79,0.73,10.57
C0023,Henson Inc,unknown,basic,2024-10-04 00:00:00+00:00,249,1271302.26,5105.63156626506,168.0,19.0,38.0,24.0,21,12.0,9.0,49.0,51.0,7.63,0.73,8.03
C0002,Rush Bryant,retail,standard,2024-08-14 00:00:00+00:00,243,1262347.099999999,5194.8440329218065,162.0,23.0,33.0,25.0,25,10.0,15.0,48.15,51.85,9.47,0.76,9.88
C0048,Knight And Sons,unknown,basic,2024-03-17 00:00:00+00:00,262,1262194.7900000005,4817.537366412215,156.0,30.0,47.0,29.0,32,18.0,14.0,43.13,56.87,11.45,0.8,10.69
C0045,Miller Arnold,credit,unknown,2025-01-01 00:00:00+00:00,247,1249700.0299999996,5059.514291497974,173.0,22.0,31.0,21.0,31,16.0,15.0,49.39,50.61,8.91,0.76,11.74
C0021,Hayes Thompson And Jones,unknown,basic,2023-06-19 00:00:00+00:00,248,1240273.790000001,5001.103991935488,165.0,25.0,45.0,13.0,30,13.0,17.0,53.63,46.37,10.08,0.77,11.69
C0051,Hart Hudson And Wallace,unknown,standard,2024-01-30 00:00:00+00:00,240,1235312.5000000007,5147.13541666667,164.0,23.0,33.0,20.0,26,18.0,8.0,47.08,52.92,9.58,0.79,10.0
C0036,Thomas And Sons,services,basic,2024-02-26 00:00:00+00:00,232,1234416.1600000006,5320.75931034483,154.0,17.0,29.0,32.0,23,13.0,10.0,43.53,56.47,7.33,0.74,9.91
C0027,Fitzgerald Brandt,payroll,standard,2023-11-22 00:00:00+00:00,259,1231335.09,4754.189536679537,166.0,30.0,34.0,29.0,31,21.0,10.0,52.9,47.1,11.58,0.82,11.2
C0032,Brown French,credit,enterprise,2023-11-29 00:00:00+00:00,257,1230680.6300000004,4788.640583657589,158.0,27.0,41.0,31.0,19,10.0,9.0,43.97,56.03,10.51,0.76,7.0
C0014,Byrd Morales,unknown,enterprise,2024-10-18 00:00:00+00:00,243,1224334.8599999996,5038.415061728394,164.0,22.0,32.0,25.0,28,12.0,16.0,52.67,47.33,9.05,0.76,11.11
C0033,Lowery Black,payroll,unknown,2024-01-14 00:00:00+00:00,245,1223513.0299999998,4993.930734693877,160.0,19.0,40.0,26.0,32,17.0,15.0,48.98,51.02,7.76,0.72,13.06
C0059,Deleon Williams,retail,enterprise,2024-06-05 00:00:00+00:00,257,1223018.2799999986,4758.825992217893,174.0,20.0,41.0,22.0,25,16.0,9.0,50.97,49.03,7.78,0.74,8.95
C0057,Tucker Miller And Watson,payroll,standard,2024-04-18 00:00:00+00:00,248,1222891.6700000004,4931.014798387098,166.0,19.0,36.0,27.0,24,8.0,16.0,54.84,45.16,7.66,0.82,9.27
C0055,Burton Plc,logistics,basic,2023-12-05 00:00:00+00:00,243,1218656.2500000005,5015.046296296298,147.0,25.0,44.0,27.0,22,11.0,11.0,48.15,51.85,10.29,0.74,7.82
C0052,Smith And Sons,services,enterprise,2024-08-22 00:00:00+00:00,244,1217927.8700000008,4991.50766393443,157.0,13.0,43.0,31.0,29,16.0,13.0,51.23,48.77,5.33,0.74,10.25
C0001,Miller And Sons,credit,standard,2025-02-12 00:00:00+00:00,248,1213871.1699999997,4894.641814516128,149.0,27.0,39.0,33.0,27,13.0,14.0,51.21,48.79,10.89,0.72,10.08
C0047,Vargas Jimenez,unknown,premium,2023-06-21 00:00:00+00:00,258,1211174.41,4694.474457364341,176.0,19.0,39.0,24.0,21,10.0,11.0,54.65,45.35,7.36,0.73,7.36
C0013,Flowers And Sons,unknown,unknown,2024-01-30 00:00:00+00:00,246,1210119.9599999988,4919.1868292682875,170.0,22.0,34.0,20.0,18,12.0,6.0,51.63,48.37,8.94,0.82,7.32
C0009,Higgins Callahan And Coleman,unknown,premium,2024-02-12 00:00:00+00:00,244,1207852.7899999998,4950.216352459016,164.0,18.0,37.0,25.0,20,13.0,7.0,47.13,52.87,7.38,0.75,8.2
C0018,Smith And Sons,payroll,basic,2023-11-21 00:00:00+00:00,242,1197415.4900000002,4947.997892561984,143.0,39.0,37.0,23.0,29,16.0,13.0,54.55,45.45,16.12,0.76,11.16
C0017,Krause Garcia,retail,standard,2024-07-25 00:00:00+00:00,250,1196984.8,4787.9392,157.0,30.0,37.0,26.0,30,11.0,19.0,53.2,46.8,12.0,0.74,11.6
C0005,Esparza Travis,credit,standard,2024-12-15 00:00:00+00:00,235,1191973.4000000004,5072.227234042555,144.0,26.0,37.0,28.0,22,10.0,12.0,51.49,48.51,11.06,0.76,8.51
C0040,Vance Brown And Duncan,unknown,premium,2025-04-28 00:00:00+00:00,236,1188890.33,5037.670889830509,149.0,25.0,45.0,17.0,23,11.0,12.0,50.0,50.0,10.59,0.8,8.9
C0004,Bell Jenkins,services,enterprise,2024-12-09 00:00:00+00:00,238,1181895.9500000002,4965.9493697479,152.0,20.0,42.0,24.0,22,9.0,13.0,50.0,50.0,8.4,0.77,8.82
C0034,Hamilton Inc,logistics,unknown,2025-02-10 00:00:00+00:00,232,1173328.6999999993,5057.451293103445,149.0,24.0,33.0,26.0,21,9.0,12.0,40.95,59.05,10.34,0.76,9.05
C0006,Cox Ltd,retail,basic,2024-02-19 00:00:00+00:00,236,1160583.5100000005,4917.726737288138,154.0,19.0,40.0,23.0,26,17.0,9.0,50.42,49.58,8.05,0.78,9.75
C0028,Wolfe Llc,credit,standard,2023-09-21 00:00:00+00:00,228,1155669.2,5068.724561403508,148.0,15.0,35.0,30.0,26,15.0,11.0,53.07,46.93,6.58,0.76,10.53
C0054,Davis Ltd,retail,unknown,2024-05-16 00:00:00+00:00,226,1142951.7800000007,5057.3087610619505,149.0,20.0,35.0,22.0,15,6.0,9.0,48.23,51.77,8.85,0.77,6.19
C0011,Jones Inc,credit,enterprise,2024-08-18 00:00:00+00:00,222,1132848.6500000001,5102.921846846847,141.0,26.0,38.0,17.0,26,16.0,10.0,42.79,57.21,11.71,0.84,11.26
C0058,Ellis Brown And Pena,logistics,unknown,2024-11-26 00:00:00+00:00,232,1126560.5499999998,4855.864439655172,143.0,31.0,37.0,21.0,18,4.0,14.0,50.86,49.14,13.36,0.79,7.76
C0020,Bauer Andrews,payroll,enterprise,2025-05-19 00:00:00+00:00,243,1094077.789999999,4502.377736625511,159.0,31.0,32.0,21.0,27,12.0,15.0,52.67,47.33,12.76,0.75,10.7
C0037,Mcdaniel Jones And Huynh,services,enterprise,2024-12-09 00:00:00+00:00,232,1078632.6799999992,4649.278793103445,154.0,22.0,36.0,20.0,21,12.0,9.0,53.88,46.12,9.48,0.72,9.05
C0029,Hancock Williams,logistics,basic,2025-01-10 00:00:00+00:00,228,1077840.7700000003,4727.3717982456155,128.0,28.0,40.0,32.0,20,7.0,13.0,52.63,47.37,12.28,0.77,8.77
C0053,Figueroa Banks And Gray,logistics,premium,2024-05-08 00:00:00+00:00,223,1074857.0099999995,4819.986591928249,135.0,23.0,48.0,17.0,28,8.0,20.0,51.57,48.43,10.31,0.76,12.11
C0041,Warren Ryan,unknown,premium,2024-01-07 00:00:00+00:00,227,1073489.2100000002,4729.027356828195,133.0,30.0,42.0,22.0,21,9.0,12.0,53.74,46.26,13.22,0.82,8.81
C0024,Houston Cole,payroll,enterprise,2024-06-17 00:00:00+00:00,235,1068471.6200000003,4546.687744680852,143.0,32.0,40.0,20.0,23,11.0,12.0,51.91,48.09,13.62,0.73,9.36
C0030,Carpenter Wright,services,unknown,2023-10-06 00:00:00+00:00,213,1033499.3599999996,4852.109671361501,137.0,27.0,31.0,18.0,10,6.0,4.0,46.95,53.05,12.68,0.8,4.69
